ORBIT NUMBER  PERIGEE TIME             PERIGEE R_GSM     PERIGEE X_GSM        PERIGEE Y_GSM        PERIGEE Z_GSM        APOGEE TIME              APOGEE R_GSM      APOGEE X_GSM         APOGEE Y_GSM         APOGEE Z_GSM         
89            2015-11-28T19:09:54.120  7631.4150390625   -7600.32080078125    -355.0767822265625   589.51806640625      2015-11-28T07:12:54.120  76590.703125      76232.65625          4430.65869140625     -5923.404296875      
90            2015-11-29T19:03:24.120  7637.44873046875  -7609.341796875      -271.3712158203125   595.728515625        2015-11-29T07:06:24.120  76584.3515625     76284.4375           3215.112060546875    -5959.09033203125    
91            2015-11-30T18:56:54.099  7643.78955078125  -7616.689453125      -221.49673461914062  603.7347412109375    2015-11-30T06:59:54.120  76577.3125        76316.2578125        1995.4033203125      -5994.29052734375    
92            2015-12-01T18:49:54.099  7649.08056640625  -7625.21533203125    89.47276306152344    597.091064453125     2015-12-01T06:53:24.099  76570.84375       76329.2109375        771.9395751953125    -6029.0361328125     
93            2015-12-02T18:43:24.099  7652.08935546875  -7627.43310546875    85.8460693359375     607.75634765625      2015-12-02T06:46:24.099  76565.953125      76324.0859375        -483.0609436035156   -6061.77880859375    
94            2015-12-03T18:36:24.099  7653.47119140625  -7621.162109375      360.31573486328125   603.05859375         2015-12-03T06:39:54.099  76563.453125      76301.21875          -1710.96533203125    -6095.78173828125    
95            2015-12-04T18:29:54.099  7651.21826171875  -7618.9150390625     341.30194091796875   613.8284912109375    2015-12-04T06:33:24.099  76563.75          76261.3828125        -2939.071044921875   -6129.4677734375     
96            2015-12-05T18:22:54.099  7647.47998046875  -7597.6962890625     623.4672241210938    608.4794311523438    2015-12-05T06:26:24.099  76566.9375        76203.28125          -4194.478515625      -6161.3603515625     
97            2015-12-06T18:16:24.099  7640.4794921875   -7588.89697265625    636.402099609375     616.8917846679688    2015-12-06T06:19:54.099  76572.6875        76129.140625         -5418.36474609375    -6194.53076171875    
98            2015-12-07T18:09:54.077  7632.9931640625   -7576.92236328125    681.4299926757812    623.2867431640625    2015-12-07T06:12:54.099  76580.203125      76035.015625         -6666.31005859375    -6226.0107421875     
